Model,Split,HIT@1,HIT@5,HIT@10,HIT@20,MRR@1,MRR@5,MRR@10,MRR@20
T5 In-Domain Full [BASE],full,0.784,0.8743333333333333,0.9,0.9203333333333333,0.784,0.8196611111111112,0.8231273809523808,0.8245643440552105
T5 In-Domain Full [TIMEAWARE],full,0.849,0.9223333333333333,0.9423333333333334,0.956,0.849,0.8792611111111114,0.8818542328042331,0.8828271725880475
T5 In-Domain Year-Subset [BASE],full,0.6389452332657201,0.7586206896551724,0.7971602434077079,0.8397565922920892,0.6389452332657201,0.6830966869506422,0.6881443381950479,0.6909720109719794
T5 In-Domain Year-Subset [TIMEAWARE],full,0.7606490872210954,0.8722109533468559,0.9087221095334685,0.9290060851926978,0.7606490872210954,0.8051048005409056,0.8100534466660225,0.811503408131197
CAQA Out-of-Domain Full [BASE],full,0.47816349384098544,0.6562150055991042,0.7164779561196134,0.7697731325950811,0.47816349384098544,0.5464255595647992,0.5545009917754811,0.5582326161553726
CAQA Out-of-Domain Full [TIMEAWARE],full,0.5035460992907801,0.6799386172286508,0.7396209199120733,0.7895151590560325,0.5035460992907801,0.5713201443324724,0.5794179433348369,0.5828865223834687
CAQA Out-of-Domain Year-Subset [BASE],full,0.43150123051681705,0.5988515176374077,0.6694011484823625,0.7276456111566858,0.43150123051681705,0.4956248290948865,0.504978384572314,0.5090247140753251
CAQA Out-of-Domain Year-Subset [TIMEAWARE],full,0.47662018047579985,0.6669401148482362,0.7145200984413453,0.7793273174733388,0.47662018047579985,0.5505195515449822,0.5570673333593761,0.5615045116185787
